ID,Text,Offensive,HateSpeech,Vulgarity,Violence
75,RT @USER بغسلهم عقب ماغسل شراعكم انتما معاً بارك الله فيكما,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
76,شكلي بس انا الوحيدة اللي اكره الشيلات,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
77,"#بايع_الكليجا 
مدري وشفيهم النسوان انهبلووو هبل اقسم بالله ..تقليد + مرض شهره ما تدري وش تسوي ومرض اخر التخريب انا خربانه خرب الشله",OFF,HS6,NOT_VLG,NOT_VIO
78,@USER من جد,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
79,@USER بنظفونها وبيرجع الغبار,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
80,@USER ليه الافتري دا,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
81,"الحقيقه والله شي مخجل اللي شفته
كمية جرأه مقززه في البنات بشكل لايوصف
وين الحياء والحشمه؟
الظاهر ماعاد به حياء ولا حشمه في الجيل هذا إلا ما رحم ربي 
#بايع_الكليجا",OFF,HS6,NOT_VLG,NOT_VIO
82,@USER لا والله ياخوي محد يرضى,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
83,"#الكووره_للعيال 

ككوولوووزززققققققق .",OFF,NOT_HS,NOT_VLG,NOT_VIO
84,@USER يارجال انت لو خايف على مصلحة الاتحاد مافتحت الموضوع الى مابعد بطوله الملك للاسف كنت احترمك كاعلامي اتحادي,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
85,@USER انتي هتقوليلي,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
86,RT @USER ماابي احلف بس واثق تماما ان وجودي مسبب لأغلبكم سعاده كلامي صح ولا اكيد!؟,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
87,"@USER لا والله انها قليلة ذوق تنظر لرجل غير زوجها . وعيب اساس تنظر لشخص غير زوجها اساس شكلها وهي متخرفنه ع بايع ذا اكبر قذرة واكبر قله ادب نعم اهجدو مذابكم ورب الكعبه ي اخواني عندي انهم اجمل من وجهه مليون مرا عادي جدا مااشوف جمال الى تشوفونه زعجتونا ترا ""هه بس.",OFF,NOT_HS,NOT_VLG,NOT_VIO
88,#بائع_الكليجا تعليقي هو : ياتبارك الرحمن لا إله إلا الله,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
89,#اصدقا_الوناسه_وينهم في البحرين  URL,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
90,٣ ايام وانا احلم احلام,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
91,@USER واللي جالسين في فنادق الرياض ثلاث سنوات ويستنزفون التحالف وش تسميهم!! عليكم من الله ماتستحقون,OFF,NOT_HS,NOT_VLG,NOT_VIO
92,"بعض مصطلحات ال amrican slangs

An arm and a leg =  غالي جدا
Ants on your pants = متوتر جدا لدرجة انه لايستطيع الجلوس وكأن فيه نمله في بنطلونه

Armpit = الابط وهذي تستخدم للتعبير عن النتانه والقذارة 

At the end of rope= متورط للغاية على قولة المصريين حبل المشنقة لاف حول رقبته",OFF,NOT_HS,NOT_VLG,NOT_VIO
93,"@USER عيش ياااابطال ☝
كلها 4/1 وهكون من الأبطال 
اقول اية علينا دولت اقول اية..",NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
94,المشاوير,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
95,@USER لو فهمت غلط  م قلت صديقي,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
96,"#صلاه_الجنازه_القادمه_انت
المستدعشين فاهمين النصيحة غلط",NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
97,"@USER انتم تسمعوني ولا تستهبلون؟!
مادريت عن حق الكلجا ذا الي طفشتونا فيه ولا اهتميت له

كلامي عن وصفك بان لا نبوة للنساء لانهن غير وفيات 
تقدر تنتقد تصرف البنات دون التقول في الدين يا مقطعين الوفاء

فهمتوا؟ تعتبت وانا اشرح",OFF,HS6,NOT_VLG,NOT_VIO
98,"قلتله مسامحه اني

كلمة وقالها لساني

بس بقلبي شي ثاني

منه تعبانة وخسرني",NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
99,"RT @USER #نبي_قصه_عشق
قصه عشق احلى موقع مسلسلات",NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
100,يا شين الخليجي اذا سوى فيها مهند  URL,OFF,NOT_HS,NOT_VLG,NOT_VIO
101,@USER وش قلة الادب هذي ؟,OFF,NOT_HS,NOT_VLG,NOT_VIO
102,"تعبت من الوزن الزائد تريد تنحف.. راسلني خاص وابعت وزنك وطولك ...ولك الحل

#صلاه_الجنازه_القادمه_انت
#اصدقا_الوناسه_وينهم
#السعودية_عز_وفخر
#اصدقا_الوناسه_وينهم
#بايع_الكليجا URL",NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
103,@USER وش فيك يا مطحون  URL,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
104,@USER لسه بتآوح,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
105,#بايع_الكليجا الحمدلله والشكر افتكينا من خرفان ايفانكا جونا خرفان بايع الكليجا.,OFF,NOT_HS,NOT_VLG,NOT_VIO
106,@USER وتت ذا قاع يقذف,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
107,@USER مظنش   متزوج بقاله شهر ونفسه يتزوج الرابعة,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
108,RT @USER كنا مغشوشيين فيهم باخلاقهم  ومذهبهم الدموي,OFF,HS3,NOT_VLG,NOT_VIO
109,"@USER بعيد عن سوء كلامه
ليته بس على ترفعه عن المرأه يحسن من سلوكياته وتصرفاته
مشيته كنه بنت
وتصرفاته ورقصه",OFF,NOT_HS,NOT_VLG,NOT_VIO
110,@USER فضحتينا,OFF,NOT_HS,NOT_VLG,NOT_VIO
111,@USER اتعس شي بعد المباراة وانت خسران و مغبون تشوفه ينزل الملعب و يسلم على اللاعبين و يتبوسم و الوضع طبيعي عنده,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
112,@USER يع خلاص تومتش !!,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
113,@USER والله يعينش على نفسش ️,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
114,@USER فعلاً اععععع,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
115,@USER هههههههههههههههه خلاص على كذا ماراح انام بدري,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
116,@USER اههاا يعني يالحريم خقو علي تراي معكم .. ياكثرهم,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
117,@USER ان كان لك حق انا م كان لك حق بتجي فيكك ي قذر,OFF,NOT_HS,NOT_VLG,NOT_VIO
118,"RT @USER اسوء الرجال من يتحدث
عن محبوبتنه للاخرين 
ليجعل منها فريسه سهله",OFF,NOT_HS,NOT_VLG,NOT_VIO
119,@USER بس بقى,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
120,الواضح انه صباح,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
121,RT @USER الهندي قاعد يثبت للمعزّب إن الخروف صار صديقه حتى ما يذبحه  URL,OFF,HS1,NOT_VLG,NOT_VIO
122,@USER كبيه الله لايسامحه كلب يعاملنا على انحن دجاج,OFF,NOT_HS,NOT_VLG,NOT_VIO
123,@USER الله ينقص ويزيد,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
124,@USER احسن,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
125,@USER صوت اللي تصور,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
126,@USER طيب ليش حاطه التسليم قبل الدفع  المفروض ادفع بعدين استلم بس طريقتها مضحكة و غبية,OFF,NOT_HS,NOT_VLG,NOT_VIO
127,انا مش عارفه اي عدم الحياء الي الناس بقت في ده,OFF,NOT_HS,NOT_VLG,NOT_VIO
128,عنز,OFF,NOT_HS,NOT_VLG,NOT_VIO
129,@USER هههههههههههههههههههههههههههههههههههههههههههه خططي وارسمي عليه لاتخلينه يضيع,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
130,@USER اي,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
131,"يالله صباح خير الواحد يرسل شي جميل تخيل بس تبدا يومك بالاهلي اي شوم بالله عليك 
#الاهلي",NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
132,غالبيتكم عملاء لذا الاحتلال جاثم فوق رؤوسكم URL,OFF,HS3,NOT_VLG,NOT_VIO
133,@USER لا عاد هو يسوي نفسه انا المز,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
134,@USER نتعوذ من الشيطان,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
135,"RT @USER #اصدقا_الوناسه_وينهم
 اداع 4768940000مليون في حسابك
اقروا الرقم زين وقولوا امين بلاش حسد",NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
136,"اللي يشوف كلام هيلاري راح يحط  بفم كل واحد ينكر وجود مؤامرات ضد دولتنا والدول المجاورة وما ان تنتهي مؤامرة تكون دستة مؤامرات جاهزة ضدنا
طبعا اذنابهم بيننا تعتبرهم هو الاستثمار الحقيقي على المدى البعيد غير الاعتراف شبه الحقيقي بخلق داعش ومساعدة الاخونج عليهم اللعنة جميعا",OFF,HS3,NOT_VLG,NOT_VIO
137,يا الله بختنق,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
138,@USER خلاص اشغلتنا,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
139,@USER سحبتوا مني لكن ما جاء شي ع الايميل  URL,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
140,@USER يستااااار,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
141,@USER ايفانكا كلنا ندري طقطقه ولاهي داريه عن هوى دارهم بس اللي م يستحون هذا سعوووووودي احرجوه واحرجوا اهله منجد ان لم تستح فأفعل ماتشاء تربيه,OFF,NOT_HS,NOT_VLG,NOT_VIO
142,@USER والله مافيه مسعورين زي العيال,OFF,NOT_HS,NOT_VLG,NOT_VIO
143,@USER انتي ماقلتي شي بهالمناسبه,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
144,@USER تاريخهم اسود من يومهم الله يجعلهم من كذا واردى,OFF,NOT_HS,NOT_VLG,NOT_VIO
145,زعلت زيادة لأني ماشفت وجهك كثير,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
146,لا مش وكده وبس لما روحت الجامعه اكتشفت ان انا محضر جدول التلات مش الاتنين وعليا النهارده رسم,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
147,#تميم_قايدنا_وحمد_عدونا  الحمدالله اني مو قطريه,OFF,HS1,NOT_VLG,NOT_VIO
148,RT @USER طيب لاتصيحح يا اخوي ترى الدعوة كرة قدم,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
149,@USER وينه دا وينه جبوولي هوا اتفاهم معاه,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
150,@USER يااااو فديت الخشه,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
151,@USER فعلا كلشي بسببها بس يالي قهرني هي بتتكلم و الكاميرا عليها طول الربورتاج بس بارش لا كانو هي النجمة لامعة و بارش الحارس  الشخصي ليش هذا الانحياز في الصحافة ليش نسيو نجومية بارش و شعبيتو في تركيا راحت الهيبة بتاع بارش صحافة تافهة صراحة,OFF,NOT_HS,NOT_VLG,NOT_VIO
152,@USER ياارب بس متاخدكيش الجلاله تانى وتقاوحينى لما اقولك هتكسلى بعد كده,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
153,@USER انتي بتفضحي البت هنا عشان مش هتشوفها,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
154,"@USER لقطة جولاق ما حمستني قهرتني
الصور =",NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
155,شعب الله المُتحَشِر,OFF,NOT_HS,NOT_VLG,NOT_VIO
156,صباح الخير .,OFF,NOT_HS,NOT_VLG,NOT_VIO
157,RT @USER بينما انا قاعدة بالبنك ناطرة دوري ، سمعت موظفة عّم تلقي محاضرة طبية لزبون سعل عدة مرات قدامها و بلشت تحكيلو عن فوائد الدوش…,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
158,RT @USER عشت فى البلد سنيين طوال وشفت فيها استفتاءات وانتخابات  عجيبه وغريبه بس عمرة ما شفت فى سخافه اللى بيحصل الان,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
159,@USER واللي تقصر عباته شبرين وتطلع بعد طويلة,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
160,أوكي مو كل عطر رجالي يناسب بنت !!!!,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
161,@USER نصاب لااحاد يشتري تفو عليك يالجزمه,OFF,NOT_HS,NOT_VLG,NOT_VIO
162,اوفففففر عااد  بعض الحريم مادري بهم شفاحه ولا قلة ادددب ؟؟؟؟ عيب والله!!!! URL,OFF,HS6,NOT_VLG,NOT_VIO
163,@USER شوفي #بوعصا شن كاتب,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
164,تبقى معدية ماتسلمش عليا عينها فعنياااا ينفع كدا يرضيكوا كذا لاااء لااءء لا لااء,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
165,RT @USER صارت لي بالثانوي ! جيت متاخر ٧ وقالت طالعه مع واحد؟ المشكله اهلي موصليني المدرسه وانا كنت غبيه ساكته ماعرف اتكلم …,OFF,NOT_HS,NOT_VLG,NOT_VIO
166,@USER مرة الجاية ختي Tag بدل تخلينا نفتش في الFollowing بتاعك ️,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
167,@USER ياريت,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
168,دعايات زعل وخضرا ع التلفزيون الاردني بتمغص,OFF,NOT_HS,NOT_VLG,NOT_VIO
169,"@USER برافو يا مريسيل اقسم بالله انك أذكى اعلامي
يقولكم  الدوري  بالريوس 
يا جمهور الأهلي اتركو #المريسيل_يتكتك
هذا تكتيكه للدوري ليتحول للاهلي
الآسيوية أضاعها الهلال بسبب المريسيل جعلهم يعيشون في وهم ترشيحه لهم
وسقطو في متاهات ومصيدة المريسيل كالعاده 
واكلهم اوراوا ساده",OFF,HS3,NOT_VLG,NOT_VIO
170,@USER تقلقن حنوكك انت وياهم همداكم قسم اني مشغول واشغلتوني,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
171,"وش هالشفاحه والانحطاط بالتاق من اغلب البنات ، حتى لو العيال تغزلو ببنت ترامب وغيره من اعذاركم السخيفه ، نظل بنات !!
عجبك امدحي بنفسك وبين اللي حولي مو لازم كل العالم تعرفك انك مشفوحه الله لا يبلانا  #بايع_الكليجا",OFF,HS6,NOT_VLG,NOT_VIO
172,"RT @USER ألحظه السعاده ...ياويلكم ياعذال ..تهزاوا مكاني ..واصل حدي ههه
كلام عادي وربي في الزمن مردوا غدار في الشيطنه ...",NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
173,ابعتيلى طيب  URL,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
174,"ياخي اللي يقولون انها كلمات محسن بن تركي اشفييه ترا لو صدق بيقولون ماهي جريمه يعني وبعدين هاني يبي شو منجد السالفه من البارح وباقي للحين
#حياتك23",NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
175,"RT @USER أمه في البيت كانت تناديه سلوم
يعصب 
يقول لا تقولين سلوم اسمي سليمان ‍♂

والحين خطيبته تناديه : لومي 
يرد عليها : اعصريني ل…",NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
176,ايه الفراغ ده  URL,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
177,"RT @USER واللى استجدعنا معاهم
طلعوا مش صافيين من جواهم.",NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO
178,@USER ماتجي ي بااااااااااااااااااااااااااااااااااااااع,OFF,NOT_HS,NOT_VLG,NOT_VIO
