Tweet,HS,Abusive,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,HS_Weak,HS_Moderate,HS_Strong,translated_tweet
"USER USER Apa iya Islam itu ga boleh dilokalisasi? Lha Kristen aja mas ada Nusantaranya mas, liat aja di Gereja di bandung ada yg pake gamelan dan ada yg khotbah pake bhs Sunda/Jawa, ada HKBP juga kurang Nusantara apa?'",0,0,0,0,0,0,0,0,0,0,0,0,"USER USER Is it true that Islam cannot be localized? Even Christianity has its own Nusantara, just look at the church in Bandung, some use gamelan and some preach in Sundanese/Javanese, there is also HKBP, is there not enough Nusantara?'"
"Ciptakan Situasi Kamtibmas Menjelang Pilkada 2018, Kapolsek Konang Silaturahmi ke Tokoh Masyarakat",0,0,0,0,0,0,0,0,0,0,0,0,"Creating Public Order and Security Situation Ahead of 2018 Regional Elections, Konang Police Chief Visits Community Leaders"
USER USER positif kok.\nse-positif respon masyarakat terhadap\n- CANGKUL impor\n- GARAM impor\n- BERAS impor\n- JAGUNG impor\n- TENAGA KERJA impor\n- ESEMKA impor\n\nURL,0,0,0,0,0,0,0,0,0,0,0,0,USER USER is positive.\nse-positive public response to\n- Imported HOES\n- Imported SALT\n- Imported RICE\n- Imported CORN\n- Imported LABOR\n- Imported ESEMKA\n\nURL
"USER USER USER USER Kata Sembahyang mengadopsi tradisi lokal pada masa kerjaan Hindu.\n\nIstilah\xc2\xa0sembahyang\xc2\xa0pun lahir dari tradisi ritus\xc2\xa0menyembahHyang (Yang Tunggal), sama dengan\xc2\xa0shalat menyembah All",0,0,0,0,0,0,0,0,0,0,0,0,"USER USER USER USER The word Sembahyang was adopted from local traditions during the Hindu kingdom.\n\nThe term\xc2\xa0sembahyang\xc2\xa0was born from the tradition of the ritual\xc2\xa0worshipping Hyang (The One), the same as\xc2\xa0prayer to worship All"
KAU PENDIKAN TINGGI TAPI BODOH....GK ADA LARANG BAWA AGAMA..BIAR ORANG ISLAM YG DI BAYAR AHOK SADAR GK JADI MILIH AHOK GLA,1,1,1,0,0,0,0,0,1,1,0,0,YOU ARE HIGHLY EDUCATED BUT STUPID... THERE IS NO PROHIBITION ON BRINGING RELIGION... SO THAT THE MUSLIMS WHO AHOK PAYS WILL REALIZE AND NOT VOTE FOR AHOK GLA
"USER USER BTP the best ,,,abaikan kaum kampret otak micin ,,,'",1,1,0,1,0,0,0,0,1,0,1,0,"USER USER BTP is the best,,,ignore the MSG brained bastards,,,'"
"USER USER , si otak tempurung mah ga usah d ladenin. Smkn d lawan semakin Bloon dan Dungu. Dan kalo ga gitu dia ga makan. Hehe'",1,1,1,0,0,0,0,0,1,1,0,0,"USER USER, there's no need to entertain a shell brain. The more you fight him, the more stupid and stupid he becomes. And if not, he won't eat. Hehe'"
"USER Awaasss... Jgn sampe beritanya sampe ke akhi gerung! Ntar susah nyari kosakatany. klu bcr aja micingin mata, bibir monyong kesamping, suara keluar ky lg nhn kentut.. ""politik kotor skl jmn ini!"". Klu tahu brt ini.. Plng Sambil ky nhn ngeden..""dungu!"". \xf0\x9f\x98\x8b",1,1,1,0,0,0,1,0,0,1,0,0,"USER Awaasss... Don't let the news reach the end of the Gerung! It will be hard to find the vocabulary. When talking, you just squint, your lips pout to the side, and your voice comes out like you're farting.. ""dirty politics these days!"". If you know about this.. Please do it while you're straining.. ""stupid!"". \xf0\x9f\x98\x8b"
pinokio umur 3 taonan tuh. #2019GantiPresiden,1,0,1,0,0,0,0,0,1,1,0,0,Pinocchio is 3 years old. #2019ChangePresident
"USER Cerita silat lae \xf0\x9f\x98\x80 semacam Kho Ping Hoo yang dari Indonesia, tapi Liang Ie Shen penulis dari China'",0,0,0,0,0,0,0,0,0,0,0,0,"USER The martial arts story is like Kho Ping Hoo from Indonesia, but Liang Ie Shen is a writer from China."
RT USER benci sekali dgn Umat Islam,1,0,0,1,1,0,0,0,0,0,1,0,RT USER really hates Muslims
"USER USER USER ""Provokasi mayat, politisasi agama"" penyebab kekalahan pilkada DKI, beginilah cara cebong mendeskripsikan kekalahan junjungannya.; FYI ahog blm pernah ikut pemilihan apapun (kec jd wakil) dan dia bukanlah etnis mayorita",1,1,1,0,0,1,0,0,0,1,0,0,"USER USER USER ""Provocation of corpses, politicization of religion"" the cause of the defeat of the DKI gubernatorial election, this is how cebong describes the defeat of his leader.; FYI, Ahog has never participated in any election (except as a deputy) and he is not from the majority ethnic group"
USER dari pada gua nete',0,1,0,0,0,0,0,0,0,0,0,0,USER than me nete'
USER Lol bani lowo',1,1,0,1,0,0,0,0,1,0,1,0,"USER Lol, you're a lowo kid'"
"Takabur bisa lahir dari siapa saja. Penguasa, rakyat, ulama maupun cendikia. Bahkan iblis mahluq yg alim &amp; telah beribadah beratus2 th dilaknat krn hasud takabburnya. Apalagi hanya seorang ahli ilmu filsafat yg tdk failosof; ; Mari kita demo diri sendi",0,0,0,0,0,0,0,0,0,0,0,0,"Arrogance can be born from anyone. Rulers, people, scholars and intellectuals. Even the devil, a pious creature who has worshipped for hundreds of years, is cursed because of his arrogance. Let alone a philosopher who is not a philosopher; ; Let's demonstrate ourselves"
"A orang yang suka ke konser-konser, sedikit boros.",0,0,0,0,0,0,0,0,0,0,0,0,"A person who likes going to concerts, a bit of a spendthrift."
[ SAMPAI KAPAN MAKAN RACUN ? ]; _; Banyak ulama yang mengatakan hukum rokok mubah dan ada jugaā?¦,0,0,0,0,0,0,0,0,0,0,0,0,[ UNTIL WHEN DO YOU EAT POISON? ]; _; Many scholars say that the law on smoking is permissible and there are also those who say that it is forbidden.
Susilo Bambang Yudhoyono Presiden RI ke 6 meminta Khofifah Emil untuk dekat dengan masyarakat . No 1 Bisa ! BaGusS #KhofifahEmilNomer1,0,0,0,0,0,0,0,0,0,0,0,0,"Susilo Bambang Yudhoyono, the 6th President of the Republic of Indonesia, asked Khofifah Emil to be close to the people. No. 1 Can! Good #KhofifahEmilNomer1"
"USER udah biasa kali. Gue kpoper tapi kalo ngomonv sama temen2 gue, idol gua banci homo'",1,1,1,0,0,0,0,1,0,1,0,0,"USER is used to it. I'm kpoper but when I talk to my friends, my idol is a sissy faggot'"
Saya suka video USER URL Awal Kisah Perseteruan Haji Bolot &amp; Malih Tongtong',0,0,0,0,0,0,0,0,0,0,0,0,I like the video USER URL The Beginning of the Story of the Feud between Haji Bolot & Malih Tongtong'
"Budaya kafir bersungguh, klau hal2 islam tidak diendahkan...",0,0,0,0,0,0,0,0,0,0,0,0,"Infidel culture is serious, if Islamic things are not respected..."
"USER USER USER USER \xf0\x9f\x8e\xb6 la la la...hm hmm \xf0\x9f\x8e\xa7 ""Semua diam ,semua bisu""\n""Kita coba tanya sama rumput yg bergoyang"" \n\xe2\x99\xab\xe2\x99\xab\xe2\x99\xab\xe2\x99\xaa\xe2\x99\xaa\xe2\x99\xaa'",0,0,0,0,0,0,0,0,0,0,0,0,"USER USER USER USER \xf0\x9f\x8e\xb6 la la la...hm hmm \xf0\x9f\x8e\xa7 ""Everyone is silent, everyone is mute""\n""Let's try asking the swaying grass"" \n\xe2\x99\xab\xe2\x99\xab\xe2\x99\xab\xe2\x99\xaa\xe2\x99\xaa\xe2\x99\xaa'"
"Apabila setan membisikkan was-was kepadamu, mintalah perlindungan kepada Allah. (QS. al-A\xe2\x80\x99raf: 200 dan Fushilat: 36).'",0,0,0,0,0,0,0,0,0,0,0,0,"If Satan whispers anxiety to you, ask Allah for protection. (QS. al-A\xe2\x80\x99raf: 200 and Fushilat: 36).'"
USER USER USER USER USER USER USER Klw ente atheis..ngapain sibuk dgn agama orang...,0,0,0,0,0,0,0,0,0,0,0,0,USER USER USER USER USER USER USER If you are an atheist... why bother with other people's religion...
Lengserkan Jokowi Bangsat!!,1,1,1,0,0,0,0,0,1,0,0,1,"Overthrow Jokowi, you bastard!!"
USER Selamat hari kartini ; ; #2019GANTIPRESIDEN; #2019PRESIDENBARU,0,0,0,0,0,0,0,0,0,0,0,0,USER Happy Kartini Day ; ; #2019CHANGE THE PRESIDENT; #2019NEW PRESIDENT
"RT USER: Bajingan Homo!!!\nHati2 terhadap anak2 kita terutama di kamar mandi laki2, jgn biarkan sendiri! URL",1,1,1,0,0,0,0,1,0,1,0,0,"RT USER: Homo Bastard!!!\nBe careful of our children especially in the men's bathroom, don't leave them alone! URL"
USER Iya cocot',1,1,1,0,0,0,0,0,1,1,0,0,"USER Yes, it's suitable'"
USER karena budaya indonesia.,0,0,0,0,0,0,0,0,0,0,0,0,USER because of Indonesian culture.
"USER Yang ngajarin solat'a ajah itu orang aseng dia hanya ingin memecah belah islam""",0,0,0,0,0,0,0,0,0,0,0,0,"USER The one who teaches prayer is a foreigner, he only wants to divide Islam"""
USER x || Lo ngomong aja kaga bener bangke',1,1,1,0,0,0,0,0,1,1,0,0,"USER x || You're not saying it right, bro'"
USER USER Kita semua tidak pernah akan mempercayai yg negara Kita disuatu hari nanti akan dijajah oleh kerana terdapat kes2pembubaran sistem2 beraja dinegara Kita kini untuk menjadikan sebagai negara republik komunis padahal negara2 penjaja,0,0,0,0,0,0,0,0,0,0,0,0,USER USER We all will never believe that our country will one day be colonized because there is a dissolution of the monarchical systems in our country now to make it a communist republic even though it is a colonial country.
tapi masih menikmati kebijakan yang dulu diusulkan PKI.. lha yo opo...,1,0,0,1,0,1,0,0,0,0,1,0,but still enjoying the policies that were previously proposed by the PKI.. so what...
Kalo seumpama orang cina di usir paksa dari indonesia gimana,1,0,0,1,0,1,0,0,0,0,1,0,What if Chinese people were forcibly expelled from Indonesia?
USER bunda ngentot yuk',0,1,0,0,0,0,0,0,0,0,0,0,"USER, let's fuck mom'"
RT USER: china babi... china maling...\n#UsirChina https:\/\/t.co\/9y4HIWHJp2,1,1,0,1,0,1,0,0,0,0,0,1,RT USER: china pig... china thief...\n#EvictChina https:\/\/t.co\/9y4HIWHJp2
"Bung Karno anti asing dan beliau dari Jawa, coba deh adain konsensus lebih banyak mana Jawa yang anti asing atau pro asing karena kebo*ohannya. \n\nKalau kami keliru kami tutup akun'",0,0,0,0,0,0,0,0,0,0,0,0,"Bung Karno was anti-foreign and he was from Java, try to have more consensus on which Java is anti-foreign or pro-foreign because of his lies. \n\nIf we are wrong we will close the account'"
PROYEK KORUPSI REZIM SBY URL,1,0,1,0,0,0,0,0,1,1,0,0,SBY REGIME CORRUPTION PROJECT URL
"USER Wajar saja, lihat saja tingkah bbrp petinggi negeri ini yg suka mencampur bhs indonesia dgn bhs asing setiap kali bicara'",0,0,0,0,0,0,0,0,0,0,0,0,"USER It's only natural, just look at the behavior of some of the country's top officials who like to mix Indonesian with foreign languages ​​every time they speak."
AB: pribadi yg senang berkompetisi dalam hal yang baik dan positif,0,0,0,0,0,0,0,0,0,0,0,0,AB: a person who likes to compete in good and positive things
USER USER Terus menurut lo kitab suci agAma apa yg di bilang om USER ; ; #Mendadakkalap,1,0,1,0,0,0,0,0,1,1,0,0,"USER USER So according to you, what religious holy book did Mr. USER say? ; #SuddenlyGoingAgain"
USER Suka nutup mata. Kaga ditutup pun udah terlihat tertutup gara2 sipit /?',0,0,0,0,0,0,0,0,0,0,0,0,"USER Likes to close his eyes. Even if it's not closed, it already looks closed because it's narrow /?'"
"USER Sy sbg muslim tdk merasa pak USER menistakan kitab suci Alqur'an, krn dlm Alqur'an sndri ada bbrp suku kata yg smpai dtik ini blm diketahui mkna faktualnya olh umat islam, tp kami yakini kata tsb ada makna yg tersirat (fiksi) yg blm",0,0,0,0,0,0,0,0,0,0,0,0,"USER As a Muslim, I do not feel that Mr. USER has insulted the holy book of the Qur'an, because in the Qur'an itself there are several syllables whose factual meanings are still unknown to Muslims, but we believe that these words have an implied meaning (fiction) that is not yet known."
USER eh kasar kau kampang',1,1,1,0,0,0,0,0,1,1,0,0,"USER eh you're rude, you're a villager'"
"BENTAR LAGI GUA RILIS ALBUM THE ONTA'S WKWKWKWKWK""",0,0,0,0,0,0,0,0,0,0,0,0,"SOON I WILL RELEASE THE ONTA'S ALBUM WKWKWKWKWK"""
USER Ada cebong bang dia merasa paling benar',1,1,1,0,0,0,0,0,1,1,0,0,"USER There's a tadpole, bro, he thinks he's the most correct'"
Najis banget gw ngetwit apa barusan wey',0,1,0,0,0,0,0,0,0,0,0,0,What did I just tweet that was really dirty?
Kamu transgender atau gmn anjing :( URL,1,1,1,0,0,0,0,1,0,1,0,0,Are you transgender or what dog :( URL
USER awas bintitan lu ngintipin titit kucing',0,1,0,0,0,0,0,0,0,0,0,0,"USER, watch out for your stye, you're peeking at the cat's tit.'"
"USER USER Bawel, baper, bolot, baik, bodor , gaje wkwk apa ya udah itu aja deh'",0,1,0,0,0,0,0,0,0,0,0,0,"USER USER Fussy, irritating, stupid, good, stupid, funny, whatever, that's all.'"
"USER USER USER USER Gue saranin gk perlu bnyk bacot maling ayat, langsung to the point aja lu jadi orang... Yg tdk sepaham lu teriakin aja kafir sesat, liberal, pemuja dukun, bla blaaa.. pasti hatimu puas dehh ..'",1,1,1,0,1,0,0,0,0,1,0,0,"USER USER USER USER I suggest that you don't need to scold a lot of verse thieves, just go straight to the point, you're a person... Those who don't agree with you just shout about heretical infidels, liberals, worshipers of shamans, blah blah... your heart will definitely be satisfied..'"
Jgn salah target bkn ahok... agenda utama lengserkan Jokowi ..,1,0,1,0,0,0,0,0,1,0,0,1,"Don't get the wrong target, not Ahok... the main agenda is to overthrow Jokowi."
USER USER masa baru kena hestek aja udah kepanasan ??? Kepo banget ; ; #2019GantiPresiden,1,0,1,0,0,0,0,0,1,1,0,0,USER USER just got hot just by hashtagging??? So nosy; ; #2019GantiPresiden
"Maju lu sini duit tapi kau goyang kaki tak buat pape , mana la duit nak maju kat kau bodo URL",0,1,0,0,0,0,0,0,0,0,0,0,"You're going to get money, but you're shaking your legs and it's not for you, where's the money to get ahead if you're stupid? URL"
"USER HKBP berdiri itu sejak pecahnya kristen khatolik pada zaman penjajahan belanda,dl tdk ada yg namanya kristen protestan yg ada cm kristen khatolik.\nTerjadilah perpecahan dan berdirilah HKBP yg prtama kali di tarutung.\n\nNah skrg anda sy k",0,0,0,0,0,0,0,0,0,0,0,0,"USER HKBP was established since the split of Catholic Christianity during the Dutch colonial era, there was no such thing as Protestant Christianity, there were only Catholic Christians.\nThere was a split and the first HKBP was established in Tarutung.\n\nNow you know, I"
"Ha .. ha .. Banyak baca biar pintar ... JEPANG, AMERIKA, CHINA... Utang sama siapa ... Anda tau enggak ..?",0,0,0,0,0,0,0,0,0,0,0,0,"Ha.. ha.. Read a lot to be smart... JAPAN, AMERICA, CHINA... Who do you owe... Do you know..?"
Prabowo Sudah Kalah Menyebut Bantuan Jokowi Hanya Pencitraan Adalah Ratapan Pilu,1,0,1,0,0,0,0,0,1,1,0,0,"Prabowo Already Defeated, Says Jokowi's Aid Is Just Image Building Is A Mournful Lament"
USER USER dan yang takut dengan adzan adalah IBLIS',0,0,0,0,0,0,0,0,0,0,0,0,USER USER and those who are afraid of the call to prayer are DEVIL'
USER USER Yg goblog itu adalah bani cebong tukang tipu penjilat penguasa yg ketahuan gerakin masa yg dibayar pakai nasi bungkus. Propaganda nasi bungkus memang selalu gagal.',1,1,0,1,0,0,0,0,1,0,1,0,"USER USER The stupid ones are the sons of cebong, con artists, sycophants of the authorities who were caught mobilizing the masses who were paid with rice parcels. Rice parcel propaganda always fails.'"
USER USER USER USER Wuih... cebong sewot...\n\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82',1,1,1,0,0,0,0,0,1,1,0,0,USER USER USER USER Wow... sewot cebong...\n\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82'
2. Gerakan ini menekankan pentingnya kerja keras secara total untuk tingkatkan potensi bangsa,0,0,0,0,0,0,0,0,0,0,0,0,2. This movement emphasizes the importance of total hard work to increase the nation's potential.
