ID,Text,Offensive,HateSpeech,Vulgarity,Violence,translated_tweet
8950,"@USER مازال كلين ٩ يحقق المركز الاول في النتائج 

 على مستوى منتجات انقاص الوزن 

اثبت فاعليته بجدارة 

وانت/ ي  ماذا تنتظر/ي ☝

ضاعت احلى سنين العمر في السمنه 

لاداعي للقلق مع مجموعات كلين ٩ 

لانقاص الوزن 

كلين ٩ لانقاص الوزن URL",NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO,"@USER Clean 9 continues to achieve the top results

among weight loss products

It has proven its effectiveness with distinction

So what are you waiting for? ☝

The best years of your life have been wasted on obesity

No need to worry with Clean 9 weight loss kits


Clean 9 Weight Loss URL"
8951,RT @USER لو اول يناير جه ومحدش بعتلي stay with me in2018 هولع ف نفسي وفي الاكونت واللي بيقرا التويته دي الوقت‍♂️,OFF,NOT_HS,NOT_VLG,NOT_VIO,"RT @USER If January 1st comes and no one sends me a message to stay with me in 2018, I will burn myself, my account, and whoever reads this tweet at the moment♂️"
8952,ايه اهم اولوياتك الفترة دي ؟ — اعدي الترم صافي  URL,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO,What are your top priorities during this period? - Complete the semester clearly. URL
8953,@USER السومة وش يبي,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO,"@USER Al-Somah, what does he want?"
8954,"#بايع_الكليجا

.

الله يحفظه لااهله وين ماحلت خطاويه 
وأنتم ي خرفان بنت ترامب ووووو........
 كلو تبن مسوين يعننا ‍♀️",OFF,HS6,NOT_VLG,NOT_VIO,"#Baie_Al_Klijah

.

May God protect him and his family wherever he goes.
And you, you sheep, Trump's daughter, etc.

You've made it all straw for us."
8955,"@USER مستحيل سييرا استلم كل شي مع انمار الحائلي و احمد كعكي 

عيال الخيمة ضد سييرا 

اذا نواف المقيرن طرد سييرا راح ينجلد مثل الكلب البلوي و جمجوم 

سييرا خط احمر",OFF,NOT_HS,NOT_VLG,NOT_VIO,"@USER It's impossible for Sierra to take over everything with Anmar Al-Haili and Ahmed Kaaki.

Khaimah boys vs. Sierra.

If Nawaf Al-Muqrin expels Sierra, he will be flogged like the dog Balawi and Jamjoom.

Sierra is a red line."
8956,@USER يحقق المدود المالي المناسب لاتحاد الكره,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO,@USER achieves the appropriate financial support for the Football Association
8957,@USER ههههههههههههههه. جابلي مر,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO,@USER Hahahahahahahaha. He brought me bitter
8958,"#بايع_الكليجا

هذا وانا استغفر الله لو يبيع زق صار الزق حلو

صح ان الغيره طاقتني طق بس الحق لله جميل ابن الكلب من شفته وانا كارهني ومتحسف ادفع 15 ريال قيمة حلاقه ع وجهي",OFF,NOT_HS,NOT_VLG,NOT_VIO,"#Baie_Al-Klijah

This, and I seek God's forgiveness. If he were to sell a wineskin, the wineskin would be beautiful.

It's true that jealousy has overwhelmed me, but God has the right to punish Jamil, the son of a dog. Since I saw him, I've hated him and regretted paying 15 riyals for a shave on my face."
8959,@USER دي ما ثقافة دي قلة تربيه دي,OFF,NOT_HS,NOT_VLG,NOT_VIO,"@USER This is not culture, this is bad manners"
8960,"حبيت الخيل !
لاني شفت في شموخها "" انا ""
في عزتها "" انا ""
في جمالها العربي "" انا ""
لله دره 
#شهد_الزايدي",NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO,"I loved horses! Because I saw ""me"" in their pride, ""me"" in their dignity, ""me"" in their Arabian beauty. God bless them. #Shahd_AlZaidi"
8961,@USER ابك افزعي لي جعلك المغص شوفيه وش يقول,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO,@USER I cried and was startled. I hope you have colic. See what he says.
8962,"#اصدقا_الوناسه_وينهم
خاطري اخذ لي قروب بنات ونكشت بالبر ونصيد وناخذ لنا كم يوم نبي نفلها واهم نقطه المنطقه تكون شبكة النت كذا عشان اضمن ولابنت فيهم تمسك الجوال 
ونعيش الجو كذا",NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO,"#Friends_of_fun_where_are_them
I want to create a girls' group and go out into the desert and fish, and we need to spend a few days enjoying it. The most important thing is that the area has a good internet connection so that I can be sure that none of the girls will hold a cell phone.
And we can live the atmosphere like this."
8963,"@USER حضرتك تكسلنا وتنزلنا شيفتاتك فمانعرفش نحضر يوجا، وتروح انت تحضرها وتكتب ""يوجا "" ؟",NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO,"@USER You make us lazy and send us your shifts, so we don’t know how to attend yoga, and you go and attend it and write “yoga”?"
8964,@USER دي نظام انا راااقدة رز مندي تعال اطرح لي,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO,@USER This is the system. I am sleeping. Mandi rice. Come and suggest it to me.
8965,"ده الادب احسن من البجاحه 
ياراكب قطر التناحه",OFF,NOT_HS,NOT_VLG,NOT_VIO,Politeness is better than arrogance. O rider of the wailing train.
8966,@USER الله يغث العدوو...,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO,@USER May God help the enemy...
8967,"@USER مره تحطي صورة واحده طويله وبترقص ومش فاهم ليه."" 
ومره تحطي صورة واحده سمراء ومش عارف دي مين."" 
ارسيلك ع حل والنبي.""",NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO,"@USER Sometimes you post a picture of a tall woman dancing and I don't understand why. And other times you post a picture of a dark-skinned woman and I don't know who it is. I'll send you a solution, please."
8968,@USER اذكر الله هو اليوم وبس,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO,@USER Remember God today and only today
8969,"مازلتم متمسكين بالإمارات 

تباً لكم  URL",OFF,HS1,NOT_VLG,NOT_VIO,"You're still clinging to the Emirates.

Damn you URL"
8970,جسمي متكسر من المسيرة,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO,My body is broken from the march
8971,@USER معليك ذولا المستشرفات امرض ناس بمجتمعنا باحثه عن الاهتمام,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO,"@USER You are welcome, these are the sickest people in our society, looking for attention."
8972,كل من حجز تذكره وهو ما يحتاجها الله لا يوفقك لا دنيا ولا اخره,OFF,NOT_HS,NOT_VLG,NOT_VIO,"Anyone who books a ticket when he doesn't need it, God will not grant you success in this world or the hereafter."
8973,هذولي كل يوم لا تصبحين عليهم و صباح النور يا النور كله  URL,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO,"These are every day, don't wake up to them, and good morning, you are all light URL"
8974,@USER استاذة مشاعل نفسيتي الحييييييييييييييييييين نفسية واحد متزوج اربع وكلهم معهم الدورة الشهرية,OFF,NOT_HS,NOT_VLG,NOT_VIO,"@USER Professor Mishaal, my psychological state is that of a man who has four wives and all of them have their menstrual cycle."
8975,@USER تقدر تستضيفني بخصوص هذا الموضوع كأحد المحبوبين,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO,@USER Can you host me on this topic as a favorite?
8976,RT @USER العامل يشرح للمعزّب إن الخروف صار صديقه حتى ما يذبحه  URL,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO,RT @USER The worker explains to the host that the sheep has become his friend so he won't slaughter it. URL
8977,حق الداومين ، ودي امر عليكم واعطيكم كوكيز ووباقة  URL,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO,"Dear users, I would like to pass by and give you cookies and a URL."
8978,"RT @USER بوه ناس يحبونك وقت الفراغ 
وبوه ناس يتفرغون لحبك 
#فرق 
#صفقو_لي",NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO,RT @USER There are people who love you in your free time. There are people who devote themselves to loving you. #Difference #Clap_for_me
8979,ابتسمفإنها خربانه خربانه,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO,"Smile, it's ruined, ruined"
8980,أصعب فتره وعمر مر عليك كم؟ — لما كنت سنة ثانية جامعة URL,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO,What was the hardest period and age you went through? — When you were a second year university URL
8981,RT @USER ابي خروف #خروف #سنابي #كلب #كلبه #قحبه #خنيث #عمه #عمتكم #مسترس #ساديه #دفيع #كاش URL,OFF,NOT_HS,VLG,NOT_VIO,RT @USER I want a sheep #sheep #snapchat #dog #bitch #whore #effeminate #aunt #your aunt #mister #sadistic #pay #cash URL
8982,"@USER البعر بعر ولا ينخدع بمن كشفت خباياه وخبثه وعمالته للصهاينة والماسون مرة تلو مرة إلا البعر مثله والسذج الأغبياء كذلك من لازال يتابع العريفي والقرني ولم يطلع على حقيقتهم!
#بعض_البقر_حمير لا يفهم!!
#للجماهير_رؤوس_كثيرة_ودماغ_واحد
#ألك_رأس_للدبوس_أيضاً_رأس
هناك سذج! هناك إستغلال! URL",OFF,HS3,NOT_VLG,NOT_VIO,"@USER Dung is dung, and don't be fooled by someone whose secrets, malice, and collaboration with the Zionists and Freemasons have been exposed time and time again. Only dung is like him, and the naive fools like him who still follow Al-Arifi and Al-Qarni and have not discovered their true nature! #Some_cows_are_donkeys who do not understand!! #The_masses_have_many_heads_and_one_brain
#You_have_a_head_for_a_pin_also_a_head
There are naive people! There is exploitation! URL"
8983,@USER عطوني شي اهفها فيها ي عرب,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO,"@USER Give me something to laugh at, Arabs"
8984,"RT @USER الــنساء كالفــواكـه..
  لكل إمرأه طعم ولـون مميز..
بس المشكله الرجال يحبوا (سـلطه فواكهه)

#قروب_التايب_للدعم #الكنق_بد…",NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO,"RT @USER Women are like fruits..
Every woman has a unique taste and color..
The problem is that men love (fruit salad)

#Type_Support_Group #King_Bad…"
8985,@USER أي مسلمين أي خرابيط انت تكلم نفسك فتويتر ومحد ماعطيك وجه غيري لأنني كنت أحسب انك تتناقش باحترام بس طلعت ماتسوى,OFF,HS2,NOT_VLG,NOT_VIO,@USER What nonsense are you talking to yourself on Twitter and no one gave you any attention except me because I thought you were discussing respectfully but it turned out that you weren’t worth it
8986,مدري شدخل الرقه والانوثه بأنك تخافين من بسه ؟,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO,I don't know what does tenderness and femininity have to do with you being afraid of kissing him?
8987,@USER ههههههههههههههههههههههههههههههههه,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO,@USER HAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHA
8988,"@USER ي ليل واضح عليك تحب الـمظاهر  
 للعلم انا اتحدث عن اخلاقي  وتسذا
مااقصد مناصب وفلوس وخرابيط ولو كنت وحده منهم ي ذكي 
وش ابي فيك",OFF,NOT_HS,NOT_VLG,NOT_VIO,"@USER It's clear that you love appearances. For your information, I'm talking about my morals and my integrity. I don't mean positions, money, and nonsense. Even if you were one of them, you smart one. What do I want from you?"
8989,اكره اللي يجلس مع مجموعه ناس وهو ما استأذن يعني ممكن فيه موضوع بيننا ما نبي احد يعرفه اي شيء عندي وحده كذا بالمدرسه دايم تسوي ذي الحركه,NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO,"I hate when someone sits with a group of people without asking permission. I mean, there might be a topic between us that we don’t want anyone to know about. I have a girl like that at school who always does this."
8990,هذة عقول الي بالهشتاق سوف يتبنون رؤية المملكة 2030واسفاة على هكذا عقول بدل مايزورون مهرجان الجنادرية لمعرفة تراث الاجداد والمعاناة وطرق العيش والصبر والانتاج صاروا يركزون على سفاف الامور ومتابعة وجة فلان وعلان وسلم لي على هكذا عقول وشر البلية مايضحك #بايع_الكليجا,OFF,NOT_HS,NOT_VLG,NOT_VIO,"These are the minds of those in the hashtag. They will adopt the Kingdom’s 2030 vision. I am sorry for such minds. Instead of visiting the Janadriyah Festival to learn about the heritage of the ancestors, the suffering, the ways of living, patience, and production, they have begun to focus on the vulgarity of things and following the face of so-and-so. My regards to such minds. The worst of the calamity is that which makes you laugh. #Baie_al-Klijah"
8991,RT @USER زمن عجيب خلي الكلب  يشخر للديب,OFF,NOT_HS,VLG,NOT_VIO,"RT @USER Strange times, let the dog snore for the wolf"
8992,"@USER واللي مشاركين ما حد يعبرّهم يعني. 
سبب إلغاء السؤال غير مقنعه بتاتا. 

نقاشكم ما نقاش.",NOT_OFF,NOT_HS,NOT_VLG,NOT_VIO,"@USER Those who participated, no one should be held accountable. The reason for canceling the question is completely unconvincing. Your discussion is not a discussion."
